,word,closenessA,betweennessA,degreeA,transA,ncompoA,closenessB,betweennessB,degreeB,transB,ncompoB,closenessC,betweennessC,degreeC,transC,ncompoC,nSense,simp_word,N,RT,RTSD,ERR,length,Word,Frequency,C1Frequency,C2Frequency,C3Frequency,C4Frequency,C1FamilySize,C2FamilySize,C3FamilySize,C4FamilySize,C1FamilyFrequency,C2FamilyFrequency,C3FamilyFrequency,C4FamilyFrequency,C1ConditionalProbability,C12ConditionalProbability,C123ConditionalProbability,C1BackwardConditionalProbability,C12BackwardConditionalProbability,C123BackwardConditionalProbability,C1RE,C2RE,PMI,Strokes,C1Strokes,C2Strokes,C3Strokes,C4Strokes
2431,負責,3.468970062788358e-05,0.0,0.0,,1.0,3.469090412846045e-05,0.0,1.0,1.0,2.0,3.469090412846045e-05,0.0,1.0,1.0,2.0,3,负责,42,684.1154761904761,306.23963635388236,0.0,2,负责,53.9881,129.8815,121.6691,,,46,34.0,,,154.4552,174.3958,,,0.62429282,,,0.63149224,,,5.421,5.2413,9.6691,14,6,8.0,,
2432,負責人,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,负责人,39,632.7687179487181,164.39620257778847,2.5,3,负责人,7.3239,129.8815,121.6691,8774.3259,,46,34.0,625.0,,154.4552,174.3958,5702.1349,,0.74905231,1.0,,1.0,0.01906416,,,,-0.2146,16,6,8.0,2.0,
2433,負面,3.468970062788358e-05,0.0,0.0,,1.0,3.4690302336421504e-05,0.0,0.5,,1.5,3.469090408670849e-05,0.0,1.0,1.0,2.0,2,负面,37,773.6424324324322,264.4818568804281,9.75609756097561,2,负面,6.1231,129.8815,1395.4321,,,46,231.0,,,154.4552,1693.9733,,,0.07080405,,,0.00509471,,,5.421,5.3571,3.1722,15,6,9.0,,
2434,財務,3.469210787958393e-05,1.2035005739795113e-08,2.0,0.0,3.0,3.469010176690886e-05,0.0,0.3333333333333333,,1.3333333333333333,3.4704953226303946e-05,2.51932786819711e-07,6.333333333333332,0.0,13.666666666666664,3,财务,40,668.76125,296.71563662258507,0.0,2,财务,8.3321,316.6173,361.8025,,,48,83.0,,,412.9059,522.2165,,,0.03238353,,,0.01885115,,,6.1169,6.9169,4.3707,12,7,5.0,,
2435,財政,3.468970062788358e-05,0.0,0.0,,1.0,3.4690001482152544e-05,0.0,0.25,,1.25,3.469602259871586e-05,0.0,0.25,,6.25,4,财政,39,718.3194871794873,292.9216046366125,2.5,2,财政,7.2721,316.6173,139.0222,,,48,80.0,,,412.9059,182.0385,,,0.02826356,,,0.23770293,,,6.1169,2.1884,5.6212,16,7,9.0,,
2436,財產,3.4693311401025207e-05,0.0,0.5,,4.0,3.469210758728681e-05,0.0,2.0,1.0,3.0,3.4702946403507253e-05,6.49890309948936e-08,2.5,0.5,12.0,2,财产,41,637.0139024390244,236.92746743336903,0.0,2,财产,13.0319,316.6173,206.1037,,,48,92.0,,,412.9059,276.983,,,0.05064969,,,0.11868755,,,6.1169,3.5287,5.8802,13,7,6.0,,
2437,貢獻,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,贡献,38,694.6689473684211,299.4654398034936,5.0,2,贡献,12.9133,14.3111,57.2296,,,4,21.0,,,14.1809,64.0474,,,0.96724042,,,0.43615423,,,2.4328,3.4591,12.2372,20,7,13.0,,
2438,貪婪,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.469210754553339e-05,0.0,2.0,1.0,3.0,1,贪婪,38,754.4555263157895,264.73818411421865,5.0,2,贪婪,8.9103,38.3852,6.0642,,,19,1.0,,,38.6805,8.9103,,,0.24219222,,,1.0,,,2.9645,1.8279,13.1426,19,8,11.0,,
2439,貫徹,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,贯彻,40,779.895,283.49793344337934,2.4390243902439024,2,贯彻,1.8384,11.8222,64.7704,,,18,8.0,,,14.2772,80.934,,,0.43971631,,,0.27802691,,,1.1713,1.3844,9.3529,15,8,7.0,,
2440,責任,3.468970062788358e-05,0.0,0.0,,1.0,3.469090404495941e-05,0.0,1.0,,2.0,3.469090404495941e-05,0.0,1.0,,2.0,2,责任,39,659.316923076923,272.50492670731154,2.5,2,责任,58.9474,121.6691,580.0741,,,34,70.0,,,174.3958,773.3432,,,0.81533887,,,0.35063274,,,5.2866,5.439,7.3626,14,8,6.0,,
2441,責任感,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,责任感,41,676.3731707317072,200.77740241918457,0.0,3,责任感,4.0993,121.6691,580.0741,1651.6148,,34,70.0,127.0,,174.3958,773.3432,2190.9711,,0.48381452,0.48381452,,0.90212072,0.04347826,,,,0.8497,27,8,6.0,13.0,
2442,貶,3.468970062788358e-05,0.0,0.0,,1.0,3.4690001482152544e-05,0.0,0.25,,1.25,3.4690001482152544e-05,0.0,0.25,,1.25,4,贬,39,735.050769230769,267.6969656787381,2.5,1,贬,0.7561,5.2938,,,,9,,,,6.642,,,,,,,,,,,,,8,8,,,
2443,貶低,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,贬低,40,764.3304999999998,285.8922678477478,2.4390243902439024,2,贬低,2.4314,5.2938,195.7284,,,9,57.0,,,6.642,152.2387,,,0.39854192,,,0.06682967,,,1.3301,3.2886,9.7597,15,8,7.0,,
2444,貶值,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,贬值,39,764.9884615384616,303.7514016908395,2.5,2,贬值,3.0467,5.2938,296.079,,,9,43.0,,,6.642,272.9059,,,0.49939247,,,0.033902499999999995,,,1.3301,5.4917,9.2948,18,8,10.0,,
2445,貸款,3.4690302336421504e-05,0.0,0.5,,1.5,3.4690302336421504e-05,0.0,0.5,,1.5,3.4701138290240165e-05,1.2035005739795112e-09,1.5,0.0,10.5,2,贷款,39,677.9835897435896,161.47840227895585,2.5,2,贷款,9.0067,11.8765,217.1062,,,12,54.0,,,13.7658,130.3781,,,0.99671862,,,0.08117317,,,1.7867,4.0188,10.9274,21,9,12.0,,
2446,費用,3.468970062788358e-05,0.0,0.0,,1.0,3.469571854833114e-05,0.0,5.0,1.0,6.0,4.225748088540918e-05,0.0,5.0,1.0,5165.0,1,费用,42,677.2411904761905,239.7739734976276,0.0,2,费用,11.9051,370.4889,1499.9654,,,118,184.0,,,457.02,831.7124,,,0.3172659,,,0.02040583,,,2.6673,5.2094,3.583,14,9,5.0,,
2447,貼身,3.468970062788358e-05,0.0,0.0,,1.0,3.469090404495941e-05,0.0,1.0,,2.0,3.469090404495941e-05,0.0,1.0,,2.0,2,贴身,42,746.7352380952382,233.39927123047588,0.0,2,贴身,2.7724,111.7432,1181.5309,,,25,169.0,,,48.3321,1499.4366,,,0.12072305,,,0.00586814,,,1.7342,4.7202,3.7343,16,9,7.0,,
2448,貿易,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,4,贸易,40,736.2232500000001,233.33358292353824,2.4390243902439024,2,贸易,5.9896,13.5506,485.6741,,,9,44.0,,,14.9666,572.2239,,,0.91402715,,,0.01820025,,,1.2784,7.5183,8.658,17,9,8.0,,
2449,貿然,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,贸然,37,851.6991891891893,304.5562457939457,9.75609756097561,2,贸然,0.5634,13.5506,1939.9062,,,9,139.0,,,14.9666,2779.6961,,,0.08597285,,,0.00025917,,,1.2784,6.1613,2.2173,21,9,12.0,,
2450,資,3.6689306070547976e-05,0.0,1.0,,1552.4,3.4691866979033016e-05,4.814002295918045e-10,1.8,0.6666666666666666,2.8,4.2257673286029324e-05,2.235815226316177e-05,2.8,0.3333333333333333,5165.0,5,资,39,712.1817948717948,231.69223827800732,2.5,1,资,1.9199,240.72099999999998,,,,54,,,,332.9726,,,,,,,,,,,,,10,10,,,
